Case Number;Earthquake;Site;Liquefied?;Data Class;Critical Depth Upper Bound (ft);Critical Depth Lower Bound (ft);Critical Depth (ft);Critical Depth (m);s critical depth (ft);Water Depth (ft);s water table (ft);g1(pcf);sg1 (pcf);g2 (pcf);sg2 (pcf);sv (psf);s sv (psf);sv' (psf) ;s sv' (psf);rss';rd;s rd;a max (g);s a max;Magnitude for KMw;s MSF;CSRs'v,Mw;s CSR;CSRs'v=100kPa,Mw=7.5;s CSRN;D50 (mm) ;s D50;FC %;s FC %;Sampler (SS:standard sampler or SWL: sampler without liners);CS;Rod length;CR;Borehole diameter (mm);CB;"Energy Ratio (SH: Safety Hammer; DH:Donut Hammer or the percentage)";CE;Number of N values;N (mean);s N ;CN ;SPT Correction (Energy+Rod length) ;(N1) 60;s (N1)60 ;Reference;V*s,40ft (fps);;K?;KMw;CSRMw=7.5,s'v=100kPA;N1,60,CS;;;;;;;
31;1976 Tangshan Ms=7.8;Le Ting L8-14;Yes;B;19.7;11.5;15.6;4.8;1.4;3.3;0.6;110;3;120;3;1837.31721;168.5278394;1069.308211;92.39153286;0.912583031;0.979107369;0.07;0.20;0.06;7.60;0.14;0.22;0.07;0.23;0.08;0.19;0.04;12.00;2.00;NA;1;Short Rod;0.91;99.00;1;0.60;1.00;6;9.85;2.02;1.406788976;1.28;12.7;2.6;Shengcong et al. (1983);700;;1.26;0.97;0.18;14.0;;;;;;;
33;1976 Tangshan Ms=7.8;Luan Nan-L2;Yes;B;18.0;4.9;11.5;3.5;2.2;3.6;0.3;110;3;125;3;1381.233596;274.6722556;889.8950131;140.0879021;0.988758808;0.976776183;0.05;0.22;0.07;7.60;0.14;0.22;0.07;0.22;0.08;0.17;0.05;3.00;2.00;NA;1;Short Rod;0.87;99.00;1;0.60;1.00;4;5.90;0.60;1.542094615;1.34;7.9;0.8;Shengcong et al. (1983);640;;1.34;0.97;0.17;8.4;;;;;;;
34;1976 Tangshan Ms=7.8;Qing Jia Ying;Yes;B;21.3;14.8;18.0;5.5;1.1;3.0;0.4;110;3;125;3;2211.286089;144.4011512;1269.553806;84.70317326;0.929849638;0.972617267;0.08;0.35;0.11;7.60;0.14;0.39;0.12;0.40;0.14;0.14;0.05;20.00;2.00;NA;1;Short Rod;0.94;99.00;1;0.60;1.00;3;18.30;2.07;1.291085047;1.21;22.1;2.5;Shengcong et al. (1983);710;;1.19;0.97;0.33;24.6;;;;;;;
36;1976 Tangshan Ms=7.8;Yao Yuan Village;Yes;B;16.4;11.5;13.9;4.3;0.8;3.3;0.4;110;3;125;3;1693.733596;107.9782996;1028.379265;63.49544375;0.918484162;0.971276394;0.06;0.20;0.06;7.60;0.14;0.21;0.06;0.22;0.07;0.15;0.05;20.00;2.00;NA;1;Short Rod;0.90;99.00;1;0.60;1.00;2;8.65;3.81;1.434510566;1.29;11.1;4.9;Shengcong et al. (1983);650;;1.27;0.97;0.17;13.3;;;;;;;
37;1977 Argentina M=7.4;San Juan B-1;Yes;B;28.0;26.0;27.0;8.2;0.3;15.0;0.4;110;3;125;3;3150;71.36603612;2401.2;64.15527553;0.890395889;0.855870449;0.11;0.20;0.03;7.50;0.13;0.15;0.03;0.15;0.03;0.14;0.05;20.00;2.00;NA;1;Short Rod;0.98;99.00;1;0.45;0.75;1;9.00;2.88;0.938785212;0.69;6.2;2.0;Idriss, et al. (1979);610;;0.96;1.00;0.15;8.2;;;;;;;
38;1977 Argentina M=7.4;San Juan B-3;Yes;B;43.0;33.5;38.3;11.7;1.6;22.0;0.3;110;3;120;3;4370;206.9820342;3356;123.6815301;0.938028859;0.706455565;0.14;0.20;0.03;7.50;0.13;0.12;0.03;0.12;0.03;0.14;0.05;20.00;2.00;NA;1;No Short Rod;1.00;99.00;1;0.45;0.75;3;14.10;2.52;0.794089459;0.60;8.4;1.5;Idriss, et al. (1979);580;;0.86;1.00;0.14;10.4;;;;;;;
41;1977 Argentina M=7.4;San Juan B-6;Yes;B;18.0;12.0;15.0;4.6;1.0;6.0;0.3;110;3;120;3;1740;124.3462907;1178.4;67.95497333;0.937028156;0.959593143;0.06;0.20;0.03;7.50;0.13;0.18;0.03;0.18;0.04;0.10;0.05;50.00;2.00;NA;1;Short Rod;0.87;99.00;1;0.45;0.75;2;6.00;0.23;1.340090228;0.88;5.3;0.2;Idriss, et al. (1979);630;;1.22;1.00;0.15;8.7;;;;;;;
47;1978 Miyagiken-Oki M=6.7;Nakamura 4;Yes;B;16.4;9.8;13.1;4.0;1.1;1.6;0.3;110;3;120;3;1558.39895;135.8020493;841.8635171;73.66183719;0.942723105;0.981890844;0.06;0.12;0.04;6.50;0.33;0.14;0.04;0.10;0.04;0.70;0.05;5.00;2.00;NA;1;Short Rod;0.89;99.00;1;0.60;1.00;2;5.60;0.43;1.585475599;1.41;7.9;0.6;Iwasaki (1978);700;;1.36;1.39;0.07;8.4;;;;;;;
57;1978 Miyagiken-Oki M=7.4;Arahama;Yes;B;26.2;6.6;16.4;5.0;3.3;3.0;0.3;110;3;120;3;1938.503937;395.8628084;1102.08189;194.054742;0.990002308;0.944793707;0.07;0.20;0.06;7.70;0.15;0.22;0.07;0.23;0.08;0.45;0.05;0.00;2.00;NA;1;Short Rod;0.92;99.00;1;0.66;1.09;7;8.90;2.37;1.385713584;1.39;12.4;3.3;Tohno et al. (1981) & Fear et al. (1995);610;;1.25;0.94;0.18;12.9;;;;;;;
58;1978 Miyagiken-Oki M=7.4;Hiyori-18;Yes;B;13.1;8.2;10.7;3.3;0.8;8.0;0.3;110;3;120;3;1199.527559;101.6677458;1033.373228;55.84741737;0.923348065;0.979489915;0.05;0.24;0.07;7.70;0.15;0.18;0.05;0.19;0.07;0.15;0.05;20.00;2.00;NA;1;Short Rod;0.86;99.00;1;0.66;1.09;1;9.10;1.49;1.431040102;1.34;12.2;2.0;Tsuchida et al. (1979, 1980);640;;1.27;0.94;0.15;14.4;;;;;;;
59;1978 Miyagiken-Oki M=7.4;Ishinomaki-2;Yes;B;19.7;4.6;12.1;3.7;2.5;4.6;2.0;110;3;120;3;1410.761155;303.6394724;939.8950131;179.9163481;0.776052971;0.925988696;0.05;0.20;0.06;7.70;0.15;0.18;0.06;0.19;0.07;0.15;0.05;10.00;2.00;NA;1;Short Rod;0.88;99.00;1;0.66;1.09;5;4.00;0.35;1.500516359;1.43;5.7;0.5;Ishihara et al. (1980);520;;1.31;0.94;0.15;6.7;;;;;;;
61;1978 Miyagiken-Oki M=7.4;Kitawabuchi-2;Yes;B;13.1;9.8;11.5;3.5;0.5;9.8;0.3;100;3;120;3;1181.102362;72.37167753;1078.740157;45.27577637;0.880904732;0.888534806;0.05;0.28;0.08;7.70;0.15;0.18;0.05;0.19;0.07;0.53;0.05;5.00;2.00;NA;1;Short Rod;0.87;99.00;1;0.60;1.00;1;11.10;1.65;1.400625356;1.22;13.5;2.0;Iwasaki (1978);460;;1.25;0.94;0.15;14.0;;;;;;;
56;1978 Miyagiken-Oki M=7.4;Nakajima-18;Yes;B;20.0;8.0;14.0;4.3;2.0;8.0;0.3;110;3;125;3;1630;251.8337745;1255.6;129.527018;0.985184594;0.970979184;0.06;0.24;0.07;7.70;0.15;0.20;0.06;0.21;0.07;0.35;0.05;3.00;2.00;NA;1;Short Rod;0.90;99.00;1;0.66;1.09;3;9.60;3.94;1.298239306;1.27;12.2;5.0;Tsuchida et al. (1979, 1980);650;;1.19;0.94;0.18;12.7;;;;;;;
65;1978 Miyagiken-Oki M=7.4;Nakamura 4;Yes;B;16.4;9.8;13.1;4.0;1.1;1.6;0.3;110;3;120;3;1558.39895;135.8020493;841.8635171;73.66183719;0.942723105;0.983861771;0.06;0.32;0.10;7.70;0.15;0.38;0.12;0.41;0.14;0.70;0.05;5.00;2.00;NA;1;Short Rod;0.89;99.00;1;0.60;1.00;2;5.60;0.43;1.585475599;1.41;7.9;0.6;Iwasaki (1978);700;;1.36;0.94;0.30;8.4;;;;;;;
66;1978 Miyagiken-Oki M=7.4;Nakamura 5;Yes;B;13.1;9.0;11.1;3.4;0.7;4.3;0.3;110;3;120;3;1284.750656;85.96103324;860.6435696;48.92333746;0.902794688;0.97243552;0.05;0.32;0.10;7.70;0.15;0.30;0.09;0.32;0.11;0.28;0.05;4.00;2.00;NA;1;Short Rod;0.86;99.00;1;0.60;1.00;1;7.10;1.48;1.568081905;1.35;9.6;2.0;Iwasaki (1978);620;;1.35;0.94;0.24;10.1;;;;;;;
67;1978 Miyagiken-Oki M=7.4;Oiiri-1;Yes;B;25.0;14.0;19.5;5.9;1.8;14.0;0.3;110;3;120;3;2200;224.6002004;1856.8;115.9082758;0.968811459;0.850461893;0.08;0.24;0.07;7.70;0.15;0.16;0.05;0.17;0.06;0.34;0.05;5.00;2.00;NA;1;Short Rod;0.95;99.00;1;0.60;1.00;1;9.15;1.97;1.067573644;1.01;9.3;2.0;Iwasaki (1978);525;;1.04;0.94;0.16;9.8;;;;;;;
68;1978 Miyagiken-Oki M=7.4;Shiomi-6;Yes;B;19.7;9.8;14.8;4.5;1.6;8.0;0.3;110;3;120;3;1691.653543;199.366035;1269.593701;100.8110841;0.972251865;0.948636444;0.06;0.24;0.07;7.70;0.15;0.20;0.06;0.21;0.07;0.25;0.05;10.00;2.00;NA;1;Short Rod;0.90;99.00;1;0.66;1.09;2;7.30;1.73;1.291064762;1.27;9.3;2.2;Tsuchida et al. (1979, 1980);600;;1.19;0.94;0.18;10.3;;;;;;;
69;1978 Miyagiken-Oki M=7.4;Yuriage Br-1;Yes;B;13.1;9.8;11.5;3.5;0.6;5.6;0.3;100;3;115;3;1233.088583;67.90556491;866.6400787;40.36714686;0.859559814;0.971260105;0.05;0.24;0.07;7.70;0.15;0.22;0.07;0.23;0.08;0.40;0.05;10.00;2.00;NA;1;Short Rod;0.87;99.00;1;0.60;1.00;2;2.95;1.33;1.562647504;1.36;4.0;1.8;Iwasaki (1978);670;;1.35;0.94;0.17;5.0;;;;;;;
70;1978 Miyagiken-Oki M=7.4;Yuriage Br-2;Yes;B;10.0;6.0;8.0;2.4;0.7;4.3;0.3;100;3;125;3;893.3727034;85.3812589;660.3144357;46.44162398;0.928793387;0.996036661;0.04;0.24;0.07;7.70;0.15;0.21;0.06;0.22;0.08;1.60;0.05;7.00;2.00;NA;1;Short Rod;0.82;99.00;1;0.67;1.12;2;11.40;1.34;1.790214256;1.64;18.7;2.2;Iwasaki (1978);750;;1.48;0.94;0.15;19.5;;;;;;;
71;1978 Miyagiken-Oki M=7.4;Yuriage Br-3;Yes;B;13.1;6.6;9.8;3.0;1.1;0.9;0.3;110;3;120;3;1172.572178;134.0339719;611.6272966;70.34895382;0.949541841;0.985248401;0.05;0.24;0.07;7.70;0.15;0.29;0.09;0.32;0.11;1.20;0.05;12.00;2.00;NA;1;Short Rod;0.85;99.00;1;0.60;1.00;3;7.10;0.95;1.860102933;1.57;11.2;1.5;Iwasaki (1978);660;;1.52;0.94;0.21;12.5;;;;;;;
73;1978 Miyagiken-Oki M=7.4;Yuriagekami-1;Yes;B;18.0;5.9;12.0;3.7;2.0;6.0;0.3;100;3;110;3;1257.545932;224.0155207;882.9002625;100.8306204;0.975337095;0.977699414;0.05;0.24;0.07;7.70;0.15;0.22;0.07;0.23;0.08;0.04;0.05;60.00;2.00;NA;1;Short Rod;0.87;99.00;1;0.60;1.00;4;2.00;0.89;1.548191163;1.35;2.7;1.2;Iwasaki (1978);650;;1.34;0.94;0.17;6.0;;;;;;;
