Case Number;Earthquake;Site;Liquefied?;Data Class;Critical Depth Upper Bound (ft);Critical Depth Lower Bound (ft);Critical Depth (ft);Critical Depth (m);s critical depth (ft);Water Depth (ft);s water table (ft);g1(pcf);sg1 (pcf);g2 (pcf);sg2 (pcf);sv (psf);s sv (psf);sv' (psf) ;s sv' (psf);rss';rd;s rd;a max (g);s a max;Magnitude for KMw;s MSF;CSRs'v,Mw;s CSR;CSRs'v=100kPa,Mw=7.5;s CSRN;D50 (mm) ;s D50;FC %;s FC %;Sampler (SS:standard sampler or SWL: sampler without liners);CS;Rod length;CR;Borehole diameter (mm);CB;"Energy Ratio (SH: Safety Hammer; DH:Donut Hammer or the percentage)";CE;Number of N values;N (mean);s N ;CN ;SPT Correction (Energy+Rod length) ;(N1) 60;s (N1)60 ;Reference;V*s,40ft (fps);;K?;KMw;CSRMw=7.5,s'v=100kPA;N1,60,CS;;;;;;;
187;1995 Hyogoken-Nambu ML=7.2;Kobe No 29;Yes;B;14.8;9.8;12.3;3.8;0.8;6.6;0.3;110;3;125;3;1439.468504;105.9059126;1081.200787;59.35244986;0.936147993;0.978637369;0.05;0.40;0.08;6.90;0.15;0.34;0.07;0.27;0.07;0.00;0.00;0.00;2.00;NA;1;Short Rod;0.88;99.00;1;0.73;1.22;3;12.05;2.21;1.399030655;1.49;18.0;3.3;Kobe City Office (1999);680;;1.25;1.21;0.22;18.6;;;;;;;
192;1995 Hyogoken-Nambu ML=7.2;Kobe No 34;Yes;B;32.8;13.1;23.0;7.0;3.3;5.9;0.3;105;3;125;3;2752.624672;413.7094163;1688.057743;212.7824261;0.989260111;0.882820243;0.09;0.40;0.08;6.90;0.15;0.37;0.09;0.30;0.08;0.00;0.00;9.29;1.89;NA;1;Short Rod;0.98;99.00;1;0.73;1.22;7;17.65;2.86;1.119661534;1.33;23.5;3.8;Kobe City Office (1999);620;;1.08;1.21;0.29;24.7;;;;;;;
193;1995 Hyogoken-Nambu ML=7.2;Kobe No 35;Yes;B;19.7;9.8;14.8;4.5;1.6;6.7;0.3;110;3;125;3;1744.586614;207.4979191;1243.011811;108.333352;0.97787156;0.946162655;0.06;0.50;0.10;6.90;0.15;0.43;0.09;0.35;0.09;0.00;0.00;6.25;4.79;NA;1;Short Rod;0.90;99.00;1;0.73;1.22;4;12.30;1.88;1.30479649;1.44;17.7;2.7;Kobe City Office (1999);620;;1.20;1.21;0.30;18.4;;;;;;;
195;1995 Hyogoken-Nambu ML=7.2;Kobe No 37;Yes;B;19.7;13.1;16.4;5.0;1.1;13.1;0.3;120;3;125;3;1984.908136;142.6060054;1780.183727;81.4260686;0.94555767;0.914035722;0.07;0.35;0.07;6.90;0.15;0.23;0.05;0.19;0.05;0.00;0.00;0.00;2.00;NA;1;Short Rod;0.92;99.00;1;0.73;1.22;4;18.40;2.54;1.090304975;1.22;22.5;3.1;Kobe City Office (1999);580;;1.06;1.21;0.18;23.1;;;;;;;
196;1995 Hyogoken-Nambu ML=7.2;Kobe No 38;Yes;B;32.8;19.7;26.2;8.0;2.2;9.8;0.3;115;3;125;3;3182.414698;279.378121;2158.792651;149.2918846;0.975357741;0.853136879;0.10;0.50;0.10;6.90;0.15;0.41;0.10;0.33;0.09;0.00;0.00;5.00;2.00;NA;1;Short Rod;1.00;99.00;1;0.73;1.22;5;15.20;2.08;0.99009061;1.20;18.3;2.5;Kobe City Office (1999);630;;0.99;1.21;0.34;18.9;;;;;;;
199;1995 Hyogoken-Nambu ML=7.2;Kobe No 41;Yes;B;19.7;7.4;13.5;4.1;2.1;6.6;0.3;100;3;120;3;1492.782152;247.806273;1057.742782;122.2161165;0.98432508;0.955407521;0.06;0.40;0.08;6.90;0.15;0.35;0.08;0.28;0.07;0.00;0.00;0.00;2.00;NA;1;Short Rod;0.89;99.00;1;0.73;1.22;6;9.70;1.96;1.414459028;1.53;14.9;3.0;Kobe City Office (1999);620;;1.26;1.21;0.23;15.4;;;;;;;
200;1995 Hyogoken-Nambu ML=7.2;Kobe No 42;Yes;B;19.7;13.1;16.4;5.0;1.1;3.8;0.3;110;3;120;3;1930.774278;137.0959761;1142.585302;76.0208941;0.938728099;0.781513721;0.07;0.40;0.08;6.90;0.15;0.34;0.08;0.28;0.07;0.00;0.00;10.00;2.00;NA;1;Short Rod;0.92;99.00;1;0.73;1.22;3;7.00;0.33;1.36093095;1.53;10.7;0.5;Kobe City Office (1999);450;;1.23;1.21;0.23;11.7;;;;;;;
201;1995 Hyogoken-Nambu ML=7.2;Kobe No 43;Yes;B;17.1;13.8;15.4;4.7;0.5;7.1;0.3;100;3;120;3;1709.317585;73.61589976;1187.270341;47.239146;0.882254851;0.95855107;0.07;0.35;0.07;6.90;0.15;0.31;0.07;0.25;0.06;0.00;0.00;20.00;2.00;NA;1;Short Rod;0.91;99.00;1;0.73;1.22;2;10.00;0.34;1.335074798;1.48;14.8;0.5;Kobe City Office (1999);650;;1.21;1.21;0.21;17.1;;;;;;;
202;1995 Hyogoken-Nambu ML=7.2;Kobe No 44;Yes;B;16.4;9.8;13.1;4.0;1.1;5.1;0.3;110;3;110;3;1443.569554;123.6354139;941.9947507;62.24548828;0.919526091;0.900969039;0.06;0.40;0.08;6.90;0.15;0.36;0.08;0.29;0.07;0.00;0.00;5.00;2.00;NA;1;Short Rod;0.89;99.00;1;0.73;1.22;3;4.70;1.17;1.498843076;1.62;7.6;1.9;Kobe City Office (1999);520;;1.31;1.21;0.23;8.1;;;;;;;
163;1995 Hyogoken-Nambu ML=7.2;Kobe No 5;Yes;B;36.1;21.3;28.7;8.8;2.5;9.9;0.3;110;3;120;3;3345.800525;302.0942046;2172.729659;156.2030494;0.972008197;0.695769885;0.11;0.35;0.07;6.90;0.15;0.24;0.06;0.20;0.06;0.00;0.00;1.25;2.50;NA;1;Short Rod;1.00;99.00;1;0.73;1.22;5;5.80;1.33;0.986910026;1.20;7.0;1.6;Kobe City Office (1999);525;;0.99;1.21;0.20;7.5;;;;;;;
165;1995 Hyogoken-Nambu ML=7.2;Kobe No 7;Yes;B;12.5;5.9;9.2;2.8;1.1;10.4;0.3;110;3;120;3;998.687664;134.948763;1072.388451;72.07661407;0.945796882;0.985855295;0.04;0.40;0.08;6.90;0.15;0.24;0.05;0.19;0.05;0.00;0.00;0.00;2.00;NA;1;Short Rod;0.84;99.00;1;0.73;1.22;2;15.60;5.52;1.404767151;1.43;22.3;7.9;Kobe City Office (1999);675;;1.26;1.21;0.16;23.0;;;;;;;
166;1995 Hyogoken-Nambu ML=7.2;Kobe No 8;Yes;B;19.7;13.1;16.4;5.0;1.1;9.7;0.3;100;3;125;3;1808.562992;141.3993241;1388.877953;77.86437394;0.955919647;0.960821269;0.07;0.50;0.10;6.90;0.15;0.41;0.09;0.33;0.08;0.00;0.00;0.00;2.00;NA;1;Short Rod;0.92;99.00;1;0.73;1.22;3;17.35;2.02;1.234378547;1.38;24.0;2.8;Kobe City Office (1999);675;;1.15;1.21;0.29;24.6;;;;;;;
167;1995 Hyogoken-Nambu ML=7.2;Kobe No 9;Yes;B;17.4;10.8;14.1;4.3;1.1;9.1;0.3;105;3;115;3;1531.496063;129.5996033;1218.267717;67.27722226;0.935586399;0.890022016;0.06;0.50;0.10;6.90;0.15;0.36;0.08;0.29;0.07;0.00;0.00;2.33;4.04;NA;1;Short Rod;0.90;99.00;1;0.73;1.22;3;8.60;3.82;1.317980666;1.44;12.4;5.5;Kobe City Office (1999);525;;1.20;1.21;0.25;12.9;;;;;;;
203;1995 Hyogoken-Nambu ML=7.2;Port Island Borehole Array Station;Yes;B;43.0;6.9;24.9;7.6;6.0;7.9;0.3;110;3;125;3;2998.687664;753.9827098;1934.120735;380.992589;0.996344835;0.715185337;0.10;0.34;0.07;6.90;0.15;0.25;0.06;0.20;0.05;0.40;0.02;20.00;2.00;NA;1;Short Rod;0.99;99.00;1;0.73;1.22;12;5.65;1.43;1.046016697;1.26;7.1;1.8;Shibata et al. (1996);500;;1.03;1.21;0.20;9.1;;;;;;;
207;1995 Hyogoken-Nambu ML=7.2;Port Island Site I;Yes;B;45.9;19.7;32.8;10.0;4.4;9.8;0.3;110;3;120;3;3838.582677;530.2677323;2405.511811;263.3514887;0.987051158;0.776899982;0.13;0.34;0.07;6.90;0.15;0.27;0.07;0.22;0.06;0.40;0.05;20.00;2.00;NA;1;No Short Rod;1.00;99.00;1;0.73;1.22;9;9.70;1.58;0.937943462;1.14;11.1;1.8;Tokimatsu et al. (1996);620;;0.96;1.21;0.24;13.2;;;;;;;
208;1995 Hyogoken-Nambu ML=7.2;Rokko Island Building D;Yes;B;36.1;13.1;24.6;7.5;3.8;13.1;0.3;110;3;125;3;2878.937008;481.3283121;2162.401575;245.666863;0.992130321;0.93133691;0.10;0.40;0.08;6.90;0.15;0.32;0.08;0.26;0.07;0.80;0.05;25.00;2.00;NA;1;Short Rod;0.99;99.00;1;0.73;1.22;13;14.80;5.97;0.989264063;1.19;17.6;7.1;Tokimatsu et al. (1996);700;;0.99;1.21;0.27;20.6;;;;;;;
209;1995 Hyogoken-Nambu ML=7.2;Rokko Island Site G;Yes;B;62.3;13.1;37.7;11.5;8.2;13.1;0.3;110;3;120;3;4396.325459;987.8057351;2860.892388;480.048745;0.995272196;0.721926257;0.14;0.34;0.07;6.90;0.15;0.25;0.07;0.20;0.06;0.40;0.05;20.00;2.00;NA;1;No Short Rod;1.00;99.00;1;0.73;1.22;17;11.95;3.44;0.860061775;1.05;12.5;3.6;Tokimatsu et al. (1996);620;;0.90;1.21;0.22;14.7;;;;;;;
210;1995 Hyogoken-Nambu ML=7.2;Torishima Dike;Yes;B;21.3;9.8;15.6;4.8;1.9;0.0;0.3;110;3;115;3;1792.158793;225.0054714;819.7178478;112.3215955;0.962122913;0.805483678;0.07;0.25;0.05;6.90;0.15;0.29;0.06;0.23;0.06;0.20;0.05;20.00;2.00;NA;1;Short Rod;0.91;99.00;1;0.73;1.22;4;8.50;1.91;1.606749642;1.78;15.2;3.4;Matsuo (1996);450;;1.38;1.21;0.17;17.4;;;;;;;
12;1964 Niigata M=7.5;Rail Road-2;No/Yes;B;36.1;29.5;32.8;10.0;1.1;3.0;1.0;110;3;125;3;4056.049869;164.2869755;2196.005774;122.5211157;0.830930537;0.766866321;0.14;0.16;0.02;7.60;0.14;0.15;0.04;0.15;0.04;0.20;0.05;2.00;2.00;NA;1;No Short Rod;1.00;99.00;1;0.66;1.09;1;16.00;1.87;0.981665817;1.07;17.1;2.0;Koizumi (1964);580;;0.99;0.97;0.15;17.7;;;;;;;
28;1976 Guatemala M=7.5;Amatitlan B-2;No/Yes;B;20.0;8.0;14.0;4.3;2.0;8.0;0.3;60;1;90;1;1020;180.5020776;645.6;56.93433411;0.968059446;0.818600865;0.06;0.14;0.04;7.50;0.13;0.11;0.04;0.11;0.04;0.80;0.05;3.00;2.00;NA;1;Short Rod;0.86;99.00;1;0.45;0.75;3;7.95;1.11;1.810500489;1.17;9.3;1.3;Seed, et al. (1979);420;;1.49;1.00;0.08;9.8;;;;;;;
9;1964 Niigata M=7.5;Old Town -1;No;A;32.8;16.4;24.6;7.5;2.7;6.0;0.3;110;3;125;3;2985.787402;346.7793279;1824.754331;181.4784972;0.983063831;0.872571682;0.11;0.18;0.03;7.60;0.14;0.17;0.03;0.17;0.04;0.20;0.05;2.00;2.00;NA;1;Short Rod;0.99;99.00;1;0.73;1.21;6;17.35;0.54;1.076907014;1.29;22.3;0.7;Koizumi (1964);600;;1.05;0.97;0.16;23.0;;;;;;;
10;1964 Niigata M=7.5;Old Town -2;No;B;42.7;32.8;37.7;11.5;1.6;6.0;0.3;110;3;125;3;4626.207349;226.8297077;2646.27664;141.8888474;0.943862764;0.743061638;0.16;0.18;0.03;7.60;0.14;0.15;0.04;0.16;0.05;0.20;0.05;2.00;2.00;NA;1;No Short Rod;1.00;99.00;1;0.73;1.21;5;24.70;2.96;0.8942579;1.08;26.7;3.2;Koizumi (1964);600;;0.93;0.97;0.17;27.4;;;;;;;
14;1964 Niigata M=7.5;Road Site;No;A;29.5;13.1;21.3;6.5;2.7;8.2;0.4;100;3;125;3;2460.629921;345.0042587;1641.732283;177.8181891;0.986703587;0.876195886;0.10;0.18;0.03;7.60;0.14;0.15;0.03;0.16;0.04;0.36;0.13;0.00;2.00;NA;1;Short Rod;0.96;99.00;1;0.66;1.09;6;12.05;3.18;1.135348624;1.19;14.4;3.8;Ishihara et. al. (1979);570;;1.09;0.97;0.15;15.0;;;;;;;
16;1964 Niigata M=7.5;Showa Br 4;No;B;23.0;16.4;19.7;6.0;1.1;4.0;0.3;110;3;125;3;2400.629921;145.1405478;1421.883465;85.13043224;0.943099038;0.994801324;0.09;0.18;0.03;7.60;0.14;0.20;0.03;0.20;0.05;0.30;0.05;0.00;2.00;NA;1;Short Rod;0.95;99.00;1;0.73;1.21;2;30.00;2.43;1.219967905;1.40;42.0;3.4;Takada et al (1965);850;;1.14;0.97;0.18;42.8;;;;;;;
17;1968 Tokachioki M=7.9;Hachinohe - 2;No;B;26.0;10.0;18.0;5.5;2.7;7.0;0.3;115;3;125;3;2180;335.6338945;1493.6;172.1739126;0.988576812;0.988175093;0.08;0.23;0.07;8.30;0.19;0.21;0.07;0.27;0.11;0.25;0.05;5.00;2.00;NA;1;Short Rod;0.94;99.00;1;0.73;1.21;5;28.50;2.15;1.190318695;1.35;38.4;2.9;Ohsaki (1970);760;;1.12;0.79;0.24;39.1;;;;;;;
18;1968 Tokachioki M=7.9;Hachinohe - 4;No;B;13.0;3.0;8.0;2.4;1.7;3.0;0.3;110;3;125;3;955;209.1148674;643;106.7410551;0.984632485;0.997079775;0.04;0.23;0.07;8.30;0.19;0.22;0.07;0.28;0.11;0.25;0.05;5.00;2.00;NA;1;Short Rod;0.82;99.00;1;0.73;1.21;3;13.95;1.22;1.814157217;1.80;25.1;2.2;Ohsaki (1970);760;;1.49;0.79;0.18;25.7;;;;;;;
29;1976 Guatemala M=7.5;Amatitlan B-3&4;No;C;45.0;22.0;33.5;10.2;3.8;12.5;1.6;60;1;90;1;2640.3;349.2301536;1329.276;120.4972879;0.82155278;0.682024368;0.13;0.14;0.04;7.50;0.13;0.12;0.04;0.12;0.05;0.80;0.05;3.00;2.00;NA;1;No Short Rod;1.00;99.00;1;0.45;0.75;7;15.10;1.90;1.261748582;0.95;14.3;1.8;Seed, et al. (1979);520;;1.17;1.00;0.10;14.9;;;;;;;
32;1976 Tangshan Ms=7.8;Luan Nan-L1;No;B;18.0;4.9;11.5;3.5;2.2;9.4;0.3;100;3;125;3;1201.607612;275.0153203;1068.536745;140.3598188;0.989042707;0.988916536;0.05;0.22;0.07;7.60;0.14;0.16;0.05;0.16;0.06;0.17;0.05;5.00;2.00;NA;1;Short Rod;0.87;99.00;1;0.60;1.00;3;19.55;2.95;1.407296723;1.22;23.9;3.6;Shengcong et al. (1983);710;;1.26;0.97;0.13;24.5;;;;;;;
35;1976 Tangshan Ms=7.8;Tangshan City;No;B;18.0;11.5;14.8;4.5;1.1;9.8;0.3;110;3;125;3;1697.834646;140.7033774;1390.748031;77.3230385;0.954489683;0.995971191;0.06;0.50;0.15;7.60;0.14;0.40;0.12;0.41;0.14;0.20;0.05;10.00;2.00;NA;1;Short Rod;0.90;99.00;1;0.60;1.00;2;29.70;5.02;1.23354836;1.12;33.1;5.6;Shengcong et al. (1983);850;;1.15;0.97;0.35;34.6;;;;;;;
39;1977 Argentina M=7.4;San Juan B-4;No;B;12.0;4.0;8.0;2.4;1.3;4.0;0.3;110;3;125;3;940;167.5888653;690.4;86.35330245;0.976732013;0.977677432;0.04;0.20;0.03;7.50;0.13;0.17;0.03;0.17;0.04;0.29;0.05;4.00;2.00;NA;1;Short Rod;0.77;99.00;1;0.45;0.75;2;13.60;0.69;1.750773707;1.01;13.8;0.7;Idriss, et al. (1979);590;;1.46;1.00;0.12;14.3;;;;;;;
40;1977 Argentina M=7.4;San Juan B-5;No;B;12.0;7.0;9.5;2.9;0.8;7.0;0.3;110;3;125;3;1082.5;106.6217353;926.5;58.48777232;0.940863375;0.987223651;0.04;0.20;0.03;7.50;0.13;0.15;0.02;0.15;0.03;0.24;0.05;3.00;2.00;NA;1;Short Rod;0.80;99.00;1;0.45;0.75;2;15.30;0.11;1.511324405;0.90;13.8;0.1;Idriss, et al. (1979);670;;1.32;1.00;0.11;14.4;;;;;;;
42;1978 Miyagiken-Oki M=6.7;Arahama;No;B;26.2;6.6;16.4;5.0;3.3;3.0;0.3;110;3;120;3;1938.503937;395.8628084;1102.08189;194.054742;0.990002308;0.936488566;0.07;0.10;0.03;6.50;0.33;0.11;0.03;0.07;0.03;0.45;0.05;0.00;2.00;NA;1;Short Rod;0.92;99.00;1;0.66;1.09;7;8.90;2.37;1.385713584;1.39;12.4;3.3;Tohno et al. (1981) & Fear et al. (1995);610;;1.25;1.39;0.06;12.9;;;;;;;
43;1978 Miyagiken-Oki M=6.7;Hiyori-18;No;B;13.1;8.2;10.7;3.3;0.8;8.0;0.3;110;3;120;3;1199.527559;101.6677458;1033.373228;55.84741737;0.923348065;0.976222916;0.05;0.14;0.04;6.50;0.33;0.10;0.03;0.07;0.03;0.15;0.05;20.00;2.00;NA;1;Short Rod;0.86;99.00;1;0.66;1.09;1;9.10;1.49;1.431040102;1.34;12.2;2.0;Tsuchida et al. (1979, 1980);640;;1.27;1.39;0.06;14.4;;;;;;;
44;1978 Miyagiken-Oki M=6.7;Ishinomaki-2;No;B;19.7;4.6;12.1;3.7;2.5;4.6;2.0;110;3;120;3;1410.761155;303.6394724;939.8950131;179.9163481;0.776052971;0.916156438;0.05;0.12;0.04;6.50;0.33;0.11;0.04;0.07;0.03;0.15;0.05;10.00;2.00;NA;1;Short Rod;0.88;99.00;1;0.66;1.09;5;4.00;0.35;1.500516359;1.43;5.7;0.5;Ishihara et al. (1980);520;;1.31;1.39;0.06;6.7;;;;;;;
45;1978 Miyagiken-Oki M=6.7;Kitawabuchi-2;No;B;13.1;9.8;11.5;3.5;0.5;9.8;0.3;100;3;120;3;1181.102362;72.37167753;1078.740157;45.27577637;0.880904732;0.877762611;0.05;0.14;0.04;6.50;0.33;0.09;0.03;0.06;0.02;0.53;0.05;5.00;2.00;NA;1;Short Rod;0.87;99.00;1;0.60;1.00;1;11.10;1.65;1.400625356;1.22;13.5;2.0;Iwasaki (1978);460;;1.25;1.39;0.05;14.0;;;;;;;
46;1978 Miyagiken-Oki M=6.7;Nakajima-18;No;B;20.0;8.0;14.0;4.3;2.0;8.0;0.3;110;3;125;3;1630;251.8337745;1255.6;129.527018;0.985184594;0.966229462;0.06;0.14;0.04;6.50;0.33;0.11;0.04;0.08;0.03;0.35;0.05;3.00;2.00;NA;1;Short Rod;0.90;99.00;1;0.66;1.09;3;9.60;3.94;1.298239306;1.27;12.2;5.0;Tsuchida et al. (1979, 1980);650;;1.19;1.39;0.07;12.7;;;;;;;
48;1978 Miyagiken-Oki M=6.7;Nakamura 5;No;B;13.1;9.0;11.1;3.4;0.7;4.3;0.3;110;3;120;3;1284.750656;85.96103324;860.6435696;48.92333746;0.902794688;0.969732185;0.05;0.12;0.04;6.50;0.33;0.11;0.03;0.08;0.03;0.28;0.05;4.00;2.00;NA;1;Short Rod;0.86;99.00;1;0.60;1.00;1;7.10;1.48;1.568081905;1.35;9.6;2.0;Iwasaki (1978);620;;1.35;1.39;0.06;10.1;;;;;;;
49;1978 Miyagiken-Oki M=6.7;Oiiri-1;No;B;25.0;14.0;19.5;5.9;1.8;14.0;0.3;110;3;120;3;2200;224.6002004;1856.8;115.9082758;0.968811459;0.831937285;0.08;0.14;0.04;6.50;0.33;0.09;0.03;0.06;0.02;0.34;0.05;5.00;2.00;NA;1;Short Rod;0.95;99.00;1;0.60;1.00;1;9.15;1.97;1.067573644;1.01;9.3;2.0;Iwasaki (1978);525;;1.04;1.39;0.06;9.8;;;;;;;
50;1978 Miyagiken-Oki M=6.7;Shiomi-6;No;B;19.7;9.8;14.8;4.5;1.6;8.0;0.3;110;3;120;3;1691.653543;199.366035;1269.593701;100.8110841;0.972251865;0.941230698;0.06;0.14;0.04;6.50;0.33;0.11;0.04;0.08;0.03;0.25;0.05;10.00;2.00;NA;1;Short Rod;0.90;99.00;1;0.66;1.09;2;7.30;1.73;1.291064762;1.27;9.3;2.2;Tsuchida et al. (1979, 1980);600;;1.19;1.39;0.07;10.3;;;;;;;
51;1978 Miyagiken-Oki M=6.7;Yuriage Br-1;No;B;13.1;9.8;11.5;3.5;0.6;5.6;0.3;100;3;115;3;1233.088583;67.90556491;866.6400787;40.36714686;0.859559814;0.980417271;0.05;0.12;0.04;6.50;0.33;0.11;0.03;0.08;0.03;0.40;0.05;10.00;2.00;NA;1;Short Rod;0.87;99.00;1;0.60;1.00;2;2.95;1.33;1.562647504;1.36;4.0;1.8;Iwasaki (1978);670;;1.35;1.39;0.06;5.0;;;;;;;
52;1978 Miyagiken-Oki M=6.7;Yuriage Br-2;No;B;10.0;6.0;8.0;2.4;0.7;4.3;0.3;100;3;125;3;893.3727034;85.3812589;660.3144357;46.44162398;0.928793387;0.995191752;0.04;0.12;0.04;6.50;0.33;0.11;0.03;0.07;0.03;1.60;0.05;7.00;2.00;NA;1;Short Rod;0.82;99.00;1;0.67;1.12;2;11.40;1.34;1.790214256;1.64;18.7;2.2;Iwasaki (1978);750;;1.48;1.39;0.05;19.5;;;;;;;
53;1978 Miyagiken-Oki M=6.7;Yuriage Br-3;No;B;13.1;6.6;9.8;3.0;1.1;0.9;0.3;110;3;120;3;1172.572178;134.0339719;611.6272966;70.34895382;0.949541841;0.982927684;0.05;0.12;0.04;6.50;0.33;0.15;0.04;0.10;0.04;1.20;0.05;12.00;2.00;NA;1;Short Rod;0.85;99.00;1;0.60;1.00;3;7.10;0.95;1.860102933;1.57;11.2;1.5;Iwasaki (1978);660;;1.52;1.39;0.07;12.5;;;;;;;
54;1978 Miyagiken-Oki M=6.7;Yuriagekami-1;No;B;18.0;5.9;12.0;3.7;2.0;6.0;0.3;100;3;110;3;1257.545932;224.0155207;882.9002625;100.8306204;0.975337095;0.974288212;0.05;0.12;0.04;6.50;0.33;0.11;0.03;0.08;0.03;0.04;0.05;60.00;2.00;NA;1;Short Rod;0.87;99.00;1;0.60;1.00;4;2.00;0.89;1.548191163;1.35;2.7;1.2;Iwasaki (1978);650;;1.34;1.39;0.06;6.0;;;;;;;
55;1978 Miyagiken-Oki M=6.7;Yuriagekami-2;No;B;18.0;6.6;12.3;3.8;1.9;2.8;0.3;100;3;120;3;1420.603675;231.6546433;826.9028871;114.8848789;0.981644522;0.964145989;0.05;0.12;0.04;6.50;0.33;0.13;0.04;0.09;0.03;0.40;0.05;0.00;2.00;NA;1;Short Rod;0.88;99.00;1;0.60;1.00;4;8.75;3.35;1.59975381;1.40;12.3;4.7;Iwasaki (1978);620;;1.37;1.39;0.07;12.8;;;;;;;
60;1978 Miyagiken-Oki M=7.4;Ishinomaki-4;No;B;23.0;4.6;13.8;4.2;3.1;4.6;0.3;120;3;125;3;3015.475066;384.005739;2442.246719;194.9112651;0.992626294;0.972368757;0.06;0.20;0.06;7.70;0.15;0.16;0.05;0.17;0.06;0.18;0.05;10.00;2.00;NA;1;Short Rod;0.89;99.00;1;0.73;1.21;7;23.40;2.68;0.930862725;1.01;23.5;2.7;Ishihara et al. (1980);650;;0.95;0.94;0.17;24.8;;;;;;;
62;1978 Miyagiken-Oki M=7.4;Kitawabuchi-3;No;B;18.0;10.0;14.0;4.3;1.3;10.0;3.0;110;3;120;3;1582.677165;166.8291684;1331.685039;178.1057783;0.294651954;0.990989934;0.06;0.28;0.08;7.70;0.15;0.21;0.07;0.23;0.09;0.41;0.05;0.00;2.00;NA;1;Short Rod;0.90;99.00;1;0.73;1.21;5;13.15;5.05;1.260606804;1.37;18.0;6.9;Iwasaki (1978);760;;1.17;0.94;0.20;18.6;;;;;;;
63;1978 Miyagiken-Oki M=7.4;Nakajima-2;No;B;20.0;10.0;15.0;4.6;1.7;8.0;0.3;110;3;125;3;1755;210.8080354;1318.2;110.0211473;0.978260106;0.967227874;0.06;0.24;0.07;7.70;0.15;0.20;0.06;0.21;0.07;0.12;0.05;26.00;2.00;NA;1;Short Rod;0.91;99.00;1;0.66;1.09;2;11.90;2.31;1.267038331;1.25;14.9;2.9;Tsuchida et al. (1979, 1980);650;;1.17;0.94;0.18;17.9;;;;;;;
64;1978 Miyagiken-Oki M=7.4;Nakamura 1;No;B;13.1;6.6;9.8;3.0;1.1;3.0;0.3;110;3;125;3;1186.023622;138.6119872;756.1023622;73.44858654;0.962622596;0.991921125;0.05;0.32;0.10;7.70;0.15;0.32;0.10;0.35;0.12;0.28;0.05;4.00;2.00;NA;1;Short Rod;0.85;99.00;1;0.67;1.12;2;15.75;4.05;1.672977537;1.58;24.9;6.4;Iwasaki (1978);720;;1.41;0.94;0.24;25.6;;;;;;;
72;1978 Miyagiken-Oki M=7.4;Yuriage Br-5;No;B;29.5;19.7;24.6;7.5;1.6;4.3;0.5;120;3;125;3;3054.461942;214.337063;1785.170604;123.5175571;0.939502322;0.977099256;0.10;0.24;0.07;7.70;0.15;0.26;0.08;0.28;0.10;0.35;0.05;17.00;2.00;NA;1;Short Rod;0.99;99.00;1;0.67;1.12;4;20.45;6.65;1.088781026;1.20;24.6;8.0;Iwasaki (1978);780;;1.06;0.94;0.26;26.8;;;;;;;
75;1978 Miyagiken-Oki M=7.4;Yuriagekami-3;No;B;24.6;14.8;19.7;6.0;1.6;7.1;0.3;110;3;125;3;2354.822835;209.6437769;1566.633858;112.3887981;0.970928805;0.97000395;0.08;0.24;0.07;7.70;0.15;0.23;0.07;0.24;0.09;0.60;0.05;0.00;2.00;NA;1;Short Rod;0.95;99.00;1;0.67;1.12;4;21.10;1.86;1.162242234;1.23;26.0;2.3;Iwasaki (1978);710;;1.11;0.94;0.22;26.7;;;;;;;
76;1979 Imperial Valley ML=6.6;Heber Road A1;No;A;16.4;5.9;11.2;3.4;1.7;5.9;0.3;100;3;125;3;1246.71916;220.1311608;919.160105;112.6319994;0.985560347;0.82;0.01;0.47;0.07;6.53;0.32;0.34;0.05;0.24;0.07;0.11;0.01;13.00;3.92;NA;1;Short Rod;0.82;99.00;1;0.68;1.13;5;32.85;2.61;1.517346699;1.42;46.5;3.7;Youd and Bennett  (1983), Benett et. al. (1979);*;;1.32;1.38;0.19;48.7;;;;;;;
78;1979 Imperial Valley ML=6.6;Heber Road A3;No;A;16.1;5.9;11.0;3.4;1.7;5.9;0.3;100;3;120;3;1200.787402;204.8391806;883.4645669;101.2005719;0.980760222;0.75;0.03;0.47;0.07;6.53;0.32;0.31;0.05;0.22;0.06;0.09;0.00;25.25;5.19;NA;1;Short Rod;0.82;99.00;1;0.68;1.13;6;12.95;4.17;1.547696638;1.44;18.6;6.0;Youd and Bennett  (1983), Benett et. al. (1979);*;;1.34;1.38;0.17;21.7;;;;;;;
79;1979 Imperial Valley ML=6.6;Kornbloom B;No;A;17.5;9.0;13.3;4.0;1.4;9.0;0.4;100;3;120;3;1410;172.7442112;1144.8;88.14957799;0.96272184;0.83;0.03;0.13;0.02;6.53;0.32;0.09;0.01;0.06;0.02;0.04;0.01;83.00;9.65;NA;1;Short Rod;0.85;99.00;1;0.68;1.13;14;5.40;3.12;1.359613903;1.31;7.1;4.1;Bennett et al. (1984);*;;1.23;1.38;0.05;10.6;;;;;;;
